total,g,day,month,date,year,type,location,opponent,rank,conference,wl,team_score,opp_score,ot,mov,last,streak,arena,state,abbr
139,6,Tuesday,December,1,2009,REG,1,Wake Forest,,ACC,1,69,58,0,11,W,6,Mackey Arena,Indiana,IN
138,5,Saturday,November,28,2009,REG,1,Central Michigan,,MAC,1,64,38,0,26,W,5,Mackey Arena,Indiana,IN
137,4,Monday,November,23,2009,REG,3,Tennessee,9,SEC,1,73,72,0,1,W,4,Virgin Islands Sport & Fitness Center,Virgin Islands,VI
136,3,Sunday,November,22,2009,REG,3,Saint Joseph's,,A-10,1,85,60,0,25,W,3,Virgin Islands Sport & Fitness Center,Virgin Islands,VI
135,2,Friday,November,20,2009,REG,3,South Dakota State,,Summit,1,74,63,0,11,W,2,Virgin Islands Sport & Fitness Center,Virgin Islands,VI
134,1,Friday,November,13,2009,REG,1,Cal State Northridge,,Big West,1,89,64,0,25,W,1,Mackey Arena,Indiana,IN
133,37,Thursday,March,26,2009,NCAA,3,Connecticut,5,Big East,0,60,72,0,-12,L,1,University of Phoenix Stadium,Arizona,AZ
132,36,Saturday,March,21,2009,NCAA,3,Washington,15,Pac-12,1,76,74,0,2,W,5,Rose Garden Arena,Oregon,OR
131,35,Thursday,March,19,2009,NCAA,3,Northern Iowa,,MVC,1,61,56,0,5,W,4,Rose Garden Arena,Oregon,OR
130,34,Sunday,March,15,2009,CTOURN,3,Ohio State,,Big Ten,1,65,61,0,4,W,3,Gainbridge Fieldhouse,Indiana,IN
129,33,Saturday,March,14,2009,CTOURN,3,Illinois,,Big Ten,1,66,56,0,10,W,2,Gainbridge Fieldhouse,Indiana,IN
128,32,Friday,March,13,2009,CTOURN,3,Penn State,,Big Ten,1,79,65,0,14,W,1,Gainbridge Fieldhouse,Indiana,IN
127,31,Sunday,March,8,2009,REG,2,Michigan State,8,Big Ten,0,51,62,0,-11,L,2,Breslin Student Events Center,Michigan,MI
126,30,Wednesday,March,4,2009,REG,1,Northwestern,,Big Ten,0,61,64,0,-3,L,1,Mackey Arena,Indiana,IN
125,29,Saturday,February,28,2009,REG,1,Ohio State,,Big Ten,1,75,50,0,25,W,1,Mackey Arena,Indiana,IN
124,28,Thursday,February,26,2009,REG,2,Michigan,,Big Ten,0,78,87,0,-9,L,1,Crisler Arena,Michigan,MI
123,27,Saturday,February,21,2009,REG,1,Indiana,,Big Ten,1,81,67,0,14,W,4,Mackey Arena,Indiana,IN
122,26,Tuesday,February,17,2009,REG,1,Michigan State,6,Big Ten,1,72,54,0,18,W,3,Mackey Arena,Indiana,IN
